date,state,fips,cases,deaths
2021-01-05,Washington,53,263713,3611
2021-01-05,West Virginia,54,93162,1442
2021-01-05,Wisconsin,55,531890,5370
2021-01-05,Wyoming,56,45569,464
2021-01-06,Alabama,01,384184,4994
2021-01-06,Alaska,02,48636,211
2021-01-06,Arizona,04,578623,9467
2021-01-06,Arkansas,05,242593,3901
2021-01-06,California,06,2548830,28040
2021-01-06,Colorado,08,350560,5080
2021-01-06,Connecticut,09,199454,6230
2021-01-06,Delaware,10,61729,947
2021-01-06,District of Columbia,11,30482,806
2021-01-06,Florida,12,1409898,22316
2021-01-06,Georgia,13,690137,10814
2021-01-06,Guam,66,8347,124
2021-01-06,Hawaii,15,22325,297
2021-01-06,Idaho,16,146322,1495
2021-01-06,Illinois,17,1001955,18738
2021-01-06,Indiana,18,542235,8743
2021-01-06,Iowa,19,290776,4060
2021-01-06,Kansas,20,239988,3027
2021-01-06,Kentucky,21,289992,3135
2021-01-06,Louisiana,22,333524,7681
2021-01-06,Maine,23,27090,372
2021-01-06,Maryland,24,293079,6132
2021-01-06,Massachusetts,25,404053,12836
2021-01-06,Michigan,26,548875,13657
2021-01-06,Minnesota,27,427655,5596
2021-01-06,Mississippi,28,228235,5013
2021-01-06,Missouri,29,435687,6167
2021-01-06,Montana,30,84155,1015
2021-01-06,Nebraska,31,173625,1756
2021-01-06,Nevada,32,237775,3301
2021-01-06,New Hampshire,33,48838,816
2021-01-06,New Jersey,34,557271,19523
2021-01-06,New Mexico,35,149984,2643
2021-01-06,New York,36,1064554,38486
2021-01-06,North Carolina,37,584694,7149
2021-01-06,North Dakota,38,93839,1341
2021-01-06,Northern Mariana Islands,69,124,2
2021-01-06,Ohio,39,742817,9368
2021-01-06,Oklahoma,40,311573,2633
2021-01-06,Oregon,41,120243,1571
2021-01-06,Pennsylvania,42,689162,16960
2021-01-06,Puerto Rico,72,113227,1570
2021-01-06,Rhode Island,44,95463,1890
2021-01-06,South Carolina,45,333235,5582
2021-01-06,South Dakota,46,101684,1519
2021-01-06,Tennessee,47,610347,7312
2021-01-06,Texas,48,1887800,29278
2021-01-06,Utah,49,292720,1333
2021-01-06,Vermont,50,8158,152
2021-01-06,Virgin Islands,78,2042,23
2021-01-06,Virginia,51,377300,5226
2021-01-06,Washington,53,265790,3681
2021-01-06,West Virginia,54,94678,1481
2021-01-06,Wisconsin,55,535999,5442
2021-01-06,Wyoming,56,45890,464
2021-01-07,Alabama,01,389230,5080
2021-01-07,Alaska,02,48961,214
2021-01-07,Arizona,04,588383,9764
2021-01-07,Arkansas,05,245916,3926
2021-01-07,California,06,2589250,28554
2021-01-07,Colorado,08,354998,5164
2021-01-07,Connecticut,09,202758,6287
2021-01-07,Delaware,10,62949,949
2021-01-07,District of Columbia,11,30750,808
2021-01-07,Florida,12,1429714,22480
2021-01-07,Georgia,13,699806,10878
